,smiles,cluster_id
0,[N+]c1nc(SCc2c(Cl)cccc2Cl)sc1C(Cl)(Cl)Cl,3
1,[N+]c1ccc(CNc2ncnc3c2cnn3-c2ccccc2)cc1,3
2,COc1ccc(-c2nc(CN3CC4([C]CC4)C3)c(C)o2)cc1,2
3,[CH]C1CN(C)CCN1C(=O)CSc1ncccc1Cl,2
4,[CH]CNC(=O)C1(NC(=O)c2ccc3c(c2)OCCO3)CCCC1,2
5,[CH]COc1nc2ccccc2nc1OCC,2
6,[CH][C@H]1CN(c2ccc(Nc3nc(-c4nc(Cl)c[nH]4)cs3)cc2)C[C@@H](C)O1,2
7,c1ccc([B-](c2ccccc2)c2ccccc2)cc1,1
8,CO[C@@H]1[C@H]2CCC[C@@H]1[CH]N(c1cnc3c(-c4cccc(CO)c4F)cnn3c1)C2,1
9,CC(C)=CCCc1c2n(c3occ(C)c(=O)c13)C[C@H](C)O[CH]2,1
10,CC[CH]NC(=O)[C@@H](NC(=O)/C=C/c1ccccc1)[C@@H]1N[C@@H](C(N)=O)C(C)(C)S1,1
11,CCCN(CCc1ccc(OC)c(F)c1)[C@@H]1[CH]CN(C)CC1,1
12,COc1ccc([Se]c2[nH]cnc3ncnc2-3)cc1.I,77
13,N#Cc1cccc(COCc2ccc(C#CCO)[se]2)c1,77
14,N[C@@H]1CCN(C(=O)N[C@H](Cc2c[nH]c3ccccc23)C(=O)NCC[Se]SC2CCNCC2)C1,77
15,O=C1C([Se]c2ccccc2)=C(SCc2ccccc2)C(Sc2ccccc2)CN1c1ccccc1,77
16,CCCCN1CCC(NC(=O)CC[C@@H](C)[C@H]2CC[C@H]3[C@@H]4[C@@H](O)[C@H](C)[C@H]5C[C@H](O)CC[C@]5(C)[C@H]4CC[C@]23C)CC1CO,42
17,CC(C(O)CNC(C)C(F)(F)F)C1CCC2(C)C3C(O)CC4C(C)C(O)CCC45CC35CCC12C,42
18,CC12C(=CCC3C1CCC1(C)C3CCC1(O)C(O)CO)CC(O)CC2O,42
19,COC1C(C#CC#CC#CC#COC23CC4CC(CC(C4)C2)C3)OC(CO)C(O)C1O,42
20,CCCCN1C(=O)C(N2CCCC3(C2)NC(=O)NC3=O)CC2(CCCCC2)C1=O,241
21,COc1cccc(-c2ccc(CNC(=O)c3ccc4c(c3)C(=O)N(C3CCC(=O)NC3=O)C4=O)cc2)c1,241
22,CN(C)CCCN1C(=O)c2ccc3c4c(ccc(c24)C1=O)C(=O)N(CCCN1CCCCC1)C3=O,241
23,CCOC(=O)N1C(=O)CC(c2ccccc2)C1=O,241
24,N#Cc1cc2c(Cl)cc(Cl)cc2nc1Sc1nnnn1C1CCCCC1,130
25,CCN(CCC#N)C(=O)CSc1nnnn1-c1ccc(OC)cc1,130
26,N#CCN1CCC(Cn2nnc(-c3csc(N)n3)n2)(c2ccccc2)CC1,130
27,N#Cc1ccccc1-c1noc(COc2ccc(-n3cnnn3)cc2)n1,130
28,C[N+]12CCC(F)(CC1)[C@H](OC(=O)Nc1ccc(Br)cc1)C2,48
29,CCCCCCCCCCCC[N+](C)(C)C,48
30,CCCC[N+]1(C)C(Cc2ccccc2)CC12CCCC(O)C2,48
31,C[C@@H](c1ccncc1F)[C@H]([NH3+])C(=O)N1CC[C@H](F)C1,48
32,CCCc1ccc(-n2c(CC)nc3c(F)cc(-c4nc(N[C@@H]5CCNC5)cc(OC)n4)cc32)c(F)c1,233
33,COc1cc(OC)c(F)c(N2Cc3cnc(NCCO)cc3N(C[C@H]3CCCN3C)C2=O)c1F,233
34,C=CC(=O)Nc1ccc(Nc2ncc3c(n2)N(c2ccccc2F)C(=O)N(c2c(F)c(OC)cc(OC)c2F)C3)cc1,233
35,CCOc1ccccc1NC(=O)C(F)(F)C(=O)N1c2ccccc2Sc2ccccc21,233
36,C[C@@H]([C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@](C)(O)CC[C@]4(C)[C@H]3CC[C@]12C)[C@@H](O)CCC(C)(C)O,138
37,C[C@]12CC[C@H](O)C[C@H]1CC[C@@H]1[C@@H]2CC[C@]2(C)[C@@H](O)[C@H](N3CCN(c4ncccn4)CC3)C[C@@H]12,138
38,C[C@H](CCC(=O)N[C@@H](C)CO)[C@H]1CC[C@H]2[C@@H]3CC[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,138
39,C[C@@H]1CNC[C@@H](C)C12CC[C@]1(C)C[C@@H]2C[C@@H](O)[C@H]2[C@@]3(C)CC[C@H](F)[C@@](C)(CO)[C@@H]3CC[C@]21C,138
40,C[N+]1(CCC[P+](c2ccccc2)(c2ccccc2)c2ccccc2)CCCC1,207
41,CC[N+](CC)(CC)Cc1cccc2cc3ccccc3cc12.[Br-],207
42,C[N+]1(CCNCC(=O)N2c3ccccc3NC(=O)c3ccccc32)CCOCC1,207
43,CC[N+](C)(CC)CCCNc1ccc(-c2ccc3ocnc3c2)c2c1C(=O)N(C)C2,207
44,Cc1ccc(-c2ocnc2C(=O)N2CCC[C@H]2c2nc(-c3ccccc3C(F)(F)F)no2)cc1,96
45,Cc1nc(C(=O)Nc2ccc(CN3CCN(C)CC3)c(C(F)(F)F)c2)c([C@@H](C)c2ccc(C(F)(F)F)cc2)o1,96
46,Cc1nc2cc(NCC(O)c3ccc(C(F)(F)F)cc3)ccc2o1,96
47,Cc1ncoc1-c1nnc(SCCCN2CC3CC3(c3ccc(C(F)(F)F)cc3)C2)n1C,96
48,O=C(c1ccc(-n2cccn2)cc1)N1CCC(O)(C(F)(F)F)C1,119
49,CC(CO)(Cc1ccc(Cl)cc1)NCC(O)c1cc(C(F)(F)F)nc2c(C(F)(F)F)cccc12,119
50,CCC1(O)CCN(C(=O)c2ccc(C(F)(F)F)cc2)CC1O,119
51,OC(COCC(F)(F)F)CN1CCN(Cc2nc3ccccc3[nH]2)CC1,119
52,COc1ccc([C@H]2[C@@H](CCCc3ccccc3)C(=O)N2c2cc(OC)c(OC)c(OC)c2)cc1,82
53,N#Cc1ccc(NC(=O)NC2C(=O)N(c3ccc(F)cc3)C2C=Cc2ccccc2)cc1,82
54,COc1ccc(N2C(=O)C(N3CCSCC3)C2c2ccc(Br)cc2)c(OC)c1,82
55,Cc1cccc(N2C(=O)C(Nc3ccc4c(c3)COC4)C2c2ccco2)c1,82
56,CC(Nc1nc(NC2CCC2)n2ncc(/C=C3\NC(=O)NC3=O)c2n1)c1ccccn1,197
57,O=C1NC2(CCN(c3ncnc4[nH]ncc34)CC2)C(=O)N1Cc1cccc(C(F)(F)F)c1,197
58,CN(Cc1ccc(OCCCN2CCCCC2)cc1)c1nc(NC2CC2)n2ncc(/C=C3\NC(=O)NC3=O)c2n1,197
59,CN1CCN(c2ccccc2Nc2nc(NC3CC3)n3ncc(/C=C4\NC(=O)NC4=O)c3n2)CC1,197
60,CO/N=C(\N)c1ccc(-c2ccc(-c3ccc(/C(N)=N/OC)cn3)o2)cc1.Cl.Cl,56
61,Cc1ccc(C(=O)O/N=C(\N)c2ccncc2)cc1,56
62,CN(C)C(=O)OCC1NC(=NO)C(C#N)C1c1ccc(F)cc1,56
63,NC(=NO)c1cccnc1O[C@H]1C[C@@H](Nc2nc3ccccc3s2)C1,56
64,COc1ccc(N2CCN(Cc3ncc(C)o3)CC2)cc1,224
65,CNCc1ccc(-c2nc(CN(C)CCN(C)C)co2)cc1,224
66,Fc1ccc(N2CCN(CCCSc3nc4ccccc4o3)CC2)cc1,224
67,Clc1ccc(CNc2ccc3nc(N4CCCCC4)oc3c2)cc1,224
68,O=C(NCC(O)CN1CCc2ccccc2C1)c1cnc(C2CCCO2)c(OCC2CCCCC2)n1,174
69,Cc1cnc(OC2CC3CCC(C2)N3C)nc1-c1ccc(OCC(O)CNC(C)(C)C)cc1,174
70,Cc1nn2cc(CC(=O)N3CCCC4(CCC(=O)N(CCO)C4)C3)nc2s1,174
71,Cc1ccc([C@H]2C[C@H](n3cc(COC(C)(C)CO)nn3)[C@@H](O)CN2CC2CCCCC2)cc1C,174
72,O=C1CC(=O)N(CCCCc2nc3ccccc3s2)C(=O)N1,26
73,O=C1NC(=O)N(Cc2ccccc2)C(=O)/C1=C/NCCN1CCOCC1,26
74,COc1ccc(N2C(=O)NC(=O)C(=CNc3ccc(NC(=O)/C=C/CN(C)C)cc3)C2=O)cc1,26
75,Cc1ccc(-c2noc3c(F)c4c(cc23)CC2(C(=O)NC(=O)NC2=O)[C@H]2[C@H](C)O[C@H](C)CN42)cc1,26
76,Cc1cc(Br)cc(C)c1NC(=O)NC(=N)N(C)C,225
77,Br.C=C(C)CN1CCC(=O)N(c2ccc(F)cc2)C1=N,225
78,NC(N)=NN=C(C=Cc1ccccc1)c1ccccc1Cl,225
79,N=C(NCc1ccc(C(F)(F)F)cc1)Nc1ccc(OCCCNCCc2c[nH]cn2)c2ccccc12,225
80,Cc1ncsc1-c1ccc(CNC(=O)[C@@H]2C[C@@H](O)CCCCCCCC(=N)N2)cc1,243
81,N=C(N)c1ccc(CNC(=O)[C@@H]2COc3ccc(OCc4ccccc4)cc3C2)cn1,243
82,N=C(N)c1cccc(OCCCCOc2ccccc2C(=N)N)c1,243
83,N=C(N)c1ccc2cc(C3=CCOCC3)cc(NC(=O)c3cccc(-n4ccnc4)c3)c2c1,243
84,Cl.N#CCC(O)(c1ccc(Cl)cc1)c1ccc(Cl)cc1,214
85,N#CN1CC[C@@H](NC(=O)c2cc(-c3cc(Cl)ccc3Cl)on2)C1,214
86,N#CCC1(Cn2cnc3c(Cl)nc(Cl)nc32)CC1,214
87,COc1ccc(CC(C#N)C(=O)Nc2ccc(Cl)c(Cl)c2)cc1,214
88,COc1ccc2c(ccn2CC(=O)N(C)Cc2ccc(C)o2)c1,8
89,COc1ccc(OCCN(C)C(=O)NCc2cc(C)oc2C)cc1,8
90,CCCNC(=O)N(C)CC(=O)NC1CCCc2occc21,8
91,CC(Nc1ccc2c(c1)oc1ccccc12)C(=O)N(C)C,8
92,CC1CCC2C(C)(C)C(C)CCC2(C)C1C1(C)CCC(=O)NC1=O,32
93,CN(CC(=O)Nc1ccc(F)c(Cl)c1)C(=O)CN1C(=O)C2CCCCC2C1=O,32
94,COCCCNC(=O)c1ccc(N2C(=O)C3C4C=CC(C4)C3C2=O)cc1,32
95,O=C1C2CNCC2C(=O)N1C1CCCC(F)(F)C1,32
96,CC(C(=O)N[C@H]1CN2CCC1CC2)n1ccc(-c2ccc(F)cc2)n1,19
97,COc1ncc(CNC(=O)O[C@H]2CN3CCC2CC3)cn1,19
98,CCCCCC/C(C)=C\CC/C(C)=C\CNC(=O)O[C@H]1CN2CCC1CC2.Cl,19
99,CC1CCN(c2ccnc(COC3C4CCN(CC4)C3Cc3ccc(Cl)c(Cl)c3)c2)CC1,19
100,Cc1cccc(Oc2ccc(/C(=N/O)NCc3ccccc3)cn2)c1,87
101,CSc1ccc(Oc2ccc(/C(=N/O)NCc3ccccn3)cn2)cc1C,87
102,Cc1ccc(/C(=N/O)NC2CCC(C)CC2)c(Oc2cc(Cl)ccc2Br)n1,87
103,Cc1cccc(C)c1CN/C(=N\O)c1ccc(Oc2cc(C(F)(F)F)ccc2Cl)nc1,87
104,Cc1c(CC(=O)NCc2ccc(-c3nnn[nH]3)cc2)c(=O)oc2c(C)c3oc4c(c3cc12)CCCC4,135
105,CCCc1nc2c(C)cc(-c3noc(=S)[nH]3)cc2n1Cc1ccc(-c2ccccc2-c2nn[nH]n2)cc1,135
106,CC1=CC[C@H](C(C)C)c2c(C)cc(OCC(=O)N(Cc3nnn[nH]3)c3ccc(C(C)(C)C)cc3)cc21,135
107,CCOc1nc2cccc(NC(=O)c3ccccn3)c2n1Cc1ccc(-c2ccccc2-c2nnn[nH]2)cc1,135
108,COc1cc[nH]c1/C=C1\C(=O)Nc2ccc(F)c(C#C[C@@H]3C[C@@H](O)CN3C)c21,79
109,CCN1CCC(n2cnc3c(NCc4cccc(I)c4)ncnc32)C(O)C1,79
110,O=C1NCc2c(-c3ccc4c(O)ncnn34)ccc(Nc3ccc(N4CC(O)C4)cn3)c21,79
111,Cc1cc(C#N)ccc1-c1cnn(-c2ccc(C(=O)N3CC[C@H](O)C3)cn2)c1O,79
112,OC1CN(Cc2ccc(-c3ccncc3)nc2)CC1NC(F)Cc1ccc2c(c1)OCCCO2,211
113,CN1CCN(CCCNC(=O)c2cccc(C(=O)NCC(O)CN3CCc4ccccc4C3)c2)CC1,211
114,O=C1NCC2(CCCCC2)n2c1cc1cnc(Nc3ccc(N4CCN(CCO)CC4)cn3)nc12,211
115,CCc1nc2ccc(C(=O)N3CCN(CCO)CC3)cn2c1N(C)C(=O)c1ccccc1,211
116,[C-]#[N+]c1cccc([C@@H]2CN3CCN(C(=O)C4CCc5nc(-n6cnnn6)ncc54)C[C@H]3CO2)c1C,137
117,CC(C)CC(c1nnnn1C1CCCCC1)N1CCN(C(=O)c2ccco2)CC1,137
118,CC(C)(C)OC(=O)N1CCN(C(=O)C[C@H]2CC[C@H](c3ccc(C(=O)Nc4nnn[nH]4)cc3)CC2)CC1,137
119,CC(C)=CCCC(C)=CC[C@]1(C)CCc2c(C)c(OCCCc3nnn[nH]3)c(C)c(C)c2O1,137
120,O=C(Nc1ccccc1)c1ccc(NCC(O)CN2CCOCC2)cc1,199
121,O=C(COc1ccc(-c2ccccc2)nn1)NCC(O)CN1CCc2ccccc2C1,199
122,COc1ccc(OCC(O)CN2CCN(c3ccccc3OC)CC2)cc1.Cl,199
123,O=C(c1ccc(-c2ccccc2)cc1)N1CCC(N2CCC(c3ccccc3)CC2)C(O)C1,199
124,CN(Cc1cccc(C#N)c1)C(=O)NCC(C)(C)N1CCOCC1,90
125,N#Cc1ccc2[nH]cc([C@H]3CC[C@@H](NCCCN4CCOCC4)CC3)c2c1,90
126,COc1cc(C#N)ccc1OCC(C)(C)N1CCOCC1,90
127,Cc1ccc(-n2nc(N3CCOCC3)cc2N)c(C#N)c1,90
128,CC#Cc1nc(-c2ccc(C(F)(F)F)cc2)c(-c2ccc(CC(N)=O)cc2)s1,246
